number,word
240,berrehun eta berrogei
241,berrehun eta berrogeita bat
242,berrehun eta berrogeita bi
243,berrehun eta berrogeita hiru
244,berrehun eta berrogeita lau
245,berrehun eta berrogeita bost
246,berrehun eta berrogeita sei
247,berrehun eta berrogeita zazpi
248,berrehun eta berrogeita zortzi
249,berrehun eta berrogeita bederatzi
250,berrehun eta berrogeita hamar
251,berrehun eta berrogeita hamaika
252,berrehun eta berrogeita hamabi
253,berrehun eta berrogeita hamahiru
254,berrehun eta berrogeita hamalau
255,berrehun eta berrogeita hamabost
256,berrehun eta berrogeita hamasei
257,berrehun eta berrogeita hamazazpi
258,berrehun eta berrogeita hemezortzi
259,berrehun eta berrogeita hemeretzi
260,berrehun eta hirurogei
261,berrehun eta hirurogeita bat
262,berrehun eta hirurogeita bi
263,berrehun eta hirurogeita hiru
264,berrehun eta hirurogeita lau
265,berrehun eta hirurogeita bost
266,berrehun eta hirurogeita sei
267,berrehun eta hirurogeita zazpi
268,berrehun eta hirurogeita zortzi
269,berrehun eta hirurogeita bederatzi
270,berrehun eta hirurogeita hamar
271,berrehun eta hirurogeita hamaika
272,berrehun eta hirurogeita hamabi
273,berrehun eta hirurogeita hamahiru
274,berrehun eta hirurogeita hamalau
275,berrehun eta hirurogeita hamabost
276,berrehun eta hirurogeita hamasei
277,berrehun eta hirurogeita hamazazpi
278,berrehun eta hirurogeita hemezortzi
279,berrehun eta hirurogeita hemeretzi
280,berrehun eta laurogei
281,berrehun eta laurogeita bat
282,berrehun eta laurogeita bi
283,berrehun eta laurogeita hiru
284,berrehun eta laurogeita lau
285,berrehun eta laurogeita bost
286,berrehun eta laurogeita sei
287,berrehun eta laurogeita zazpi
288,berrehun eta laurogeita zortzi
289,berrehun eta laurogeita bederatzi
290,berrehun eta laurogeita hamar
291,berrehun eta laurogeita hamaika
292,berrehun eta laurogeita hamabi
293,berrehun eta laurogeita hamahiru
294,berrehun eta laurogeita hamalau
295,berrehun eta laurogeita hamabost
296,berrehun eta laurogeita hamasei
297,berrehun eta laurogeita hamazazpi
298,berrehun eta laurogeita hemezortzi
299,berrehun eta laurogeita hemeretzi
300,hirurehun
301,hirurehun eta bat
302,hirurehun eta bi
303,hirurehun eta hiru
304,hirurehun eta lau
305,hirurehun eta bost
306,hirurehun eta sei
307,hirurehun eta zazpi
308,hirurehun eta zortzi
309,hirurehun eta bederatzi
310,hirurehun eta hamar
311,hirurehun eta hamaika
312,hirurehun eta hamabi
313,hirurehun eta hamahiru
314,hirurehun eta hamalau
315,hirurehun eta hamabost
316,hirurehun eta hamasei
317,hirurehun eta hamazazpi
318,hirurehun eta hemezortzi
319,hirurehun eta hemeretzi
320,hirurehun eta hogei
321,hirurehun eta hogeita bat
322,hirurehun eta hogeita bi
323,hirurehun eta hogeita hiru
324,hirurehun eta hogeita lau
325,hirurehun eta hogeita bost
326,hirurehun eta hogeita sei
327,hirurehun eta hogeita zazpi
328,hirurehun eta hogeita zortzi
329,hirurehun eta hogeita bederatzi
330,hirurehun eta hogeita hamar
331,hirurehun eta hogeita hamaika
332,hirurehun eta hogeita hamabi
333,hirurehun eta hogeita hamahiru
334,hirurehun eta hogeita hamalau
335,hirurehun eta hogeita hamabost
336,hirurehun eta hogeita hamasei
337,hirurehun eta hogeita hamazazpi
338,hirurehun eta hogeita hemezortzi
339,hirurehun eta hogeita hemeretzi
340,hirurehun eta berrogei
341,hirurehun eta berrogeita bat
342,hirurehun eta berrogeita bi
343,hirurehun eta berrogeita hiru
344,hirurehun eta berrogeita lau
345,hirurehun eta berrogeita bost
346,hirurehun eta berrogeita sei
347,hirurehun eta berrogeita zazpi
348,hirurehun eta berrogeita zortzi
349,hirurehun eta berrogeita bederatzi
350,hirurehun eta berrogeita hamar
351,hirurehun eta berrogeita hamaika
352,hirurehun eta berrogeita hamabi
353,hirurehun eta berrogeita hamahiru
354,hirurehun eta berrogeita hamalau
355,hirurehun eta berrogeita hamabost
356,hirurehun eta berrogeita hamasei
357,hirurehun eta berrogeita hamazazpi
358,hirurehun eta berrogeita hemezortzi
359,hirurehun eta berrogeita hemeretzi
360,hirurehun eta hirurogei
361,hirurehun eta hirurogeita bat
362,hirurehun eta hirurogeita bi
363,hirurehun eta hirurogeita hiru
364,hirurehun eta hirurogeita lau
365,hirurehun eta hirurogeita bost
366,hirurehun eta hirurogeita sei
367,hirurehun eta hirurogeita zazpi
368,hirurehun eta hirurogeita zortzi
369,hirurehun eta hirurogeita bederatzi
370,hirurehun eta hirurogeita hamar
371,hirurehun eta hirurogeita hamaika
372,hirurehun eta hirurogeita hamabi
373,hirurehun eta hirurogeita hamahiru
374,hirurehun eta hirurogeita hamalau
375,hirurehun eta hirurogeita hamabost
376,hirurehun eta hirurogeita hamasei
377,hirurehun eta hirurogeita hamazazpi
378,hirurehun eta hirurogeita hemezortzi
379,hirurehun eta hirurogeita hemeretzi
380,hirurehun eta laurogei
381,hirurehun eta laurogeita bat
382,hirurehun eta laurogeita bi
383,hirurehun eta laurogeita hiru
384,hirurehun eta laurogeita lau
385,hirurehun eta laurogeita bost
386,hirurehun eta laurogeita sei
387,hirurehun eta laurogeita zazpi
388,hirurehun eta laurogeita zortzi
389,hirurehun eta laurogeita bederatzi
390,hirurehun eta laurogeita hamar
391,hirurehun eta laurogeita hamaika
392,hirurehun eta laurogeita hamabi
