number,word
864,zortziehun eta hirurogeita lau
865,zortziehun eta hirurogeita bost
866,zortziehun eta hirurogeita sei
867,zortziehun eta hirurogeita zazpi
868,zortziehun eta hirurogeita zortzi
869,zortziehun eta hirurogeita bederatzi
870,zortziehun eta hirurogeita hamar
871,zortziehun eta hirurogeita hamaika
872,zortziehun eta hirurogeita hamabi
873,zortziehun eta hirurogeita hamahiru
874,zortziehun eta hirurogeita hamalau
875,zortziehun eta hirurogeita hamabost
876,zortziehun eta hirurogeita hamasei
877,zortziehun eta hirurogeita hamazazpi
878,zortziehun eta hirurogeita hemezortzi
879,zortziehun eta hirurogeita hemeretzi
880,zortziehun eta laurogei
881,zortziehun eta laurogeita bat
882,zortziehun eta laurogeita bi
883,zortziehun eta laurogeita hiru
884,zortziehun eta laurogeita lau
885,zortziehun eta laurogeita bost
886,zortziehun eta laurogeita sei
887,zortziehun eta laurogeita zazpi
888,zortziehun eta laurogeita zortzi
889,zortziehun eta laurogeita bederatzi
890,zortziehun eta laurogeita hamar
891,zortziehun eta laurogeita hamaika
892,zortziehun eta laurogeita hamabi
893,zortziehun eta laurogeita hamahiru
894,zortziehun eta laurogeita hamalau
895,zortziehun eta laurogeita hamabost
896,zortziehun eta laurogeita hamasei
897,zortziehun eta laurogeita hamazazpi
898,zortziehun eta laurogeita hemezortzi
899,zortziehun eta laurogeita hemeretzi
900,bederatziehun
901,bederatziehun eta bat
902,bederatziehun eta bi
903,bederatziehun eta hiru
904,bederatziehun eta lau
905,bederatziehun eta bost
906,bederatziehun eta sei
907,bederatziehun eta zazpi
908,bederatziehun eta zortzi
909,bederatziehun eta bederatzi
910,bederatziehun eta hamar
911,bederatziehun eta hamaika
912,bederatziehun eta hamabi
913,bederatziehun eta hamahiru
914,bederatziehun eta hamalau
915,bederatziehun eta hamabost
916,bederatziehun eta hamasei
917,bederatziehun eta hamazazpi
918,bederatziehun eta hemezortzi
919,bederatziehun eta hemeretzi
920,bederatziehun eta hogei
921,bederatziehun eta hogeita bat
922,bederatziehun eta hogeita bi
923,bederatziehun eta hogeita hiru
924,bederatziehun eta hogeita lau
925,bederatziehun eta hogeita bost
926,bederatziehun eta hogeita sei
927,bederatziehun eta hogeita zazpi
928,bederatziehun eta hogeita zortzi
929,bederatziehun eta hogeita bederatzi
930,bederatziehun eta hogeita hamar
931,bederatziehun eta hogeita hamaika
932,bederatziehun eta hogeita hamabi
933,bederatziehun eta hogeita hamahiru
934,bederatziehun eta hogeita hamalau
935,bederatziehun eta hogeita hamabost
936,bederatziehun eta hogeita hamasei
937,bederatziehun eta hogeita hamazazpi
938,bederatziehun eta hogeita hemezortzi
939,bederatziehun eta hogeita hemeretzi
940,bederatziehun eta berrogei
941,bederatziehun eta berrogeita bat
942,bederatziehun eta berrogeita bi
943,bederatziehun eta berrogeita hiru
944,bederatziehun eta berrogeita lau
945,bederatziehun eta berrogeita bost
946,bederatziehun eta berrogeita sei
947,bederatziehun eta berrogeita zazpi
948,bederatziehun eta berrogeita zortzi
949,bederatziehun eta berrogeita bederatzi
950,bederatziehun eta berrogeita hamar
951,bederatziehun eta berrogeita hamaika
952,bederatziehun eta berrogeita hamabi
953,bederatziehun eta berrogeita hamahiru
954,bederatziehun eta berrogeita hamalau
955,bederatziehun eta berrogeita hamabost
956,bederatziehun eta berrogeita hamasei
957,bederatziehun eta berrogeita hamazazpi
958,bederatziehun eta berrogeita hemezortzi
959,bederatziehun eta berrogeita hemeretzi
960,bederatziehun eta hirurogei
961,bederatziehun eta hirurogeita bat
962,bederatziehun eta hirurogeita bi
963,bederatziehun eta hirurogeita hiru
964,bederatziehun eta hirurogeita lau
965,bederatziehun eta hirurogeita bost
966,bederatziehun eta hirurogeita sei
967,bederatziehun eta hirurogeita zazpi
968,bederatziehun eta hirurogeita zortzi
969,bederatziehun eta hirurogeita bederatzi
970,bederatziehun eta hirurogeita hamar
971,bederatziehun eta hirurogeita hamaika
972,bederatziehun eta hirurogeita hamabi
973,bederatziehun eta hirurogeita hamahiru
974,bederatziehun eta hirurogeita hamalau
975,bederatziehun eta hirurogeita hamabost
976,bederatziehun eta hirurogeita hamasei
977,bederatziehun eta hirurogeita hamazazpi
978,bederatziehun eta hirurogeita hemezortzi
979,bederatziehun eta hirurogeita hemeretzi
980,bederatziehun eta laurogei
981,bederatziehun eta laurogeita bat
982,bederatziehun eta laurogeita bi
983,bederatziehun eta laurogeita hiru
984,bederatziehun eta laurogeita lau
985,bederatziehun eta laurogeita bost
986,bederatziehun eta laurogeita sei
987,bederatziehun eta laurogeita zazpi
988,bederatziehun eta laurogeita zortzi
989,bederatziehun eta laurogeita bederatzi
990,bederatziehun eta laurogeita hamar
991,bederatziehun eta laurogeita hamaika
992,bederatziehun eta laurogeita hamabi
993,bederatziehun eta laurogeita hamahiru
994,bederatziehun eta laurogeita hamalau
995,bederatziehun eta laurogeita hamabost
996,bederatziehun eta laurogeita hamasei
997,bederatziehun eta laurogeita hamazazpi
998,bederatziehun eta laurogeita hemezortzi
999,bederatziehun eta laurogeita hemeretzi
